БҰЙЫРАМЫН:

1. "Жер учаскелерінің кадастрлық нөмірлерін қалыптастыру мақсаттары үшін облыстарға, республикалық маңызы бар қалаларға, астанаға, аудандарға және облыстық (аудандық) маңызы бар қалаларға берілетін кодтардың тізбесін бекіту туралы" Қазақстан Республикасы Ұлттық экономика министрінің 2015 жылғы 6 наурыздағы № 188 бұйрығына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 10672 болып тіркелген) мынадай өзгеріс енгізілсін:

көрсетілген бұйрықпен бекітілген Жер учаскелерінің кадастрлық нөмірлерін қалыптастыру мақсаттары үшін облыстарға, республикалық маңызы бар қалаларға, астанаға, аудандарға және облыстық (аудандық) маңызы бар қалаларға берілетін кодтардың тізбесі осы бұйрыққа қосымшаға сәйкес жаңа редакцияда жазылсын.

2. Қазақстан Республикасы Ауыл шаруашылығы министрлігінің Жер ресурстарын басқару комитеті заңнамада белгіленген тәртіппен:

1) осы бұйрықтың Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуін;

2) осы бұйрық ресми жарияланғаннан кейін оның Қазақстан Республикасы Ауыл шаруашылығы министрлігінің интернет-ресурсында орналастырылуын қамтамасыз етсін.

3. Осы бұйрықтың орындалуын бақылау жетекшілік ететін Қазақстан Республикасының Ауыл шаруашылығы вице-министріне жүктелсін.

4. Осы бұйрық алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Қазақстан РеспубликасыныңАуыл шаруашылығы министрініңміндетін атқарушы	|	Е. Карашукеев


"КЕЛІСІЛДІ"

Қазақстан Республикасы

Ұлттық экономика министрлігі


	|	Қазақстан РеспубликасыныңАуыл шаруашылығыминистрінің міндетін атқарушы2021 жылғы 12 тамыздағы№ 238 бұйрығынақосымша
	|	Қазақстан РеспубликасыҰлттық экономика министрінің2015 жылғы 6 наурыздағы№ 188 бұйрығыменбекітілген

Жер учаскелерінің кадастрлық нөмірлерін қалыптастыру мақсаттары үшін облыстарға, республикалық маңызы бар қалаларға, астанаға, аудандарға және облыстық (аудандық) маңызы бар қалаларға берілетін кодтардыңтізбесі

Р/с №	|	Әкімшілік-аумақтық бірлік	|	Кодтар
1-тарау. Ақмола облысы
1	|	Ақмола облысы	|	01
2	|	Ақкөл ауданы	|	001
3	|	Астрахан ауданы	|	002
4	|	Атбасар ауданы	|	003
5	|	Сандықтау ауданы	|	004
6	|	Аршалы ауданы	|	005
7	|	Ерейментау ауданы	|	006
8	|	Егіндікөл ауданы	|	007
9	|	Қорғалжын ауданы	|	008
10	|	Бұланды ауданы	|	009
11	|	Целиноград ауданы	|	011
12	|	Шортанды ауданы	|	012
13	|	Ақкөл қаласы	|	014
14	|	Атбасар қаласы	|	015
15	|	Ерейментау қаласы	|	016
16	|	Макинск қаласы	|	017
17	|	Степногорск қаласы	|	018
18	|	Шаңтөбе кенті	|	019
19	|	Зеренді ауданы	|	160
20	|	Щучье ауданы	|	171
21	|	Біржан сал ауданы	|	172
22	|	Заозерный кенті	|	173
23	|	Көкшетау қаласы	|	174
24	|	Степняк қаласы	|	176
25	|	Щучье қаласы	|	177
26	|	Жарқайың ауданы	|	275
27	|	Есіл ауданы	|	277
28	|	Жақсы ауданы	|	278
29	|	Державин қаласы	|	283
30	|	Есіл қаласы	|	284
31	|	Красногор кенті	|	285
2-тарау. Ақтөбе облысы
32	|	Ақтөбе облысы	|	02
33	|	Алға ауданы	|	022
34	|	Байғанин ауданы	|	023
35	|	Әйтеке би ауданы	|	024
36	|	Ырғыз ауданы	|	025
37	|	Мұғаджар ауданы	|	027
38	|	Қарғалы ауданы	|	028
39	|	Мәртүк ауданы	|	029
40	|	Темір ауданы	|	031
41	|	Ойыл ауданы	|	032
42	|	Қобда ауданы	|	033
43	|	Хромтау ауданы	|	034
44	|	Шалқар ауданы	|	035
45	|	Ақтөбе қаласы	|	036
46	|	Алға қаласы	|	037
47	|	Қандыағаш қаласы	|	038
48	|	Темір қаласы	|	039
49	|	Хромтау қаласы	|	040
50	|	Шалқар қаласы	|	041
51	|	Ембі қаласы	|	042
3-тарау. Алматы облысы
52	|	Алматы облысы	|	03
53	|	Балқаш ауданы	|	043
54	|	Еңбекшіқазақ ауданы	|	044
55	|	Жамбыл ауданы	|	045
56	|	Іле ауданы	|	046
57	|	Қарасай ауданы	|	047
58	|	Райымбек ауданы	|	050
