
"Қазақстан Республикасының Бюджет кодексі" Қазақстан Республикасының 2008 жылғы 4 желтоқсандағы
кодексіне , "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 6-бабының 1-тармағының
1) тармақшасына сәйкес Қармақшы аудандық мәслихаты
ШЕШІМ ҚАБЫЛДАДЫ:


1. "2014-2016 жылдарға арналған аудандық бюджет туралы" Қармақшы аудандық мәслихатының 2013 жылғы 25 желтоқсандағы кезекті 24-сессиясының
N 140 шешіміне (нормативтік құқықтық актілердің мемлекеттік тіркеу тізілімінде 4574 нөмірімен тіркелген, аудандық "Қармақшы таңы" газетінің 2014 жылғы 18 қаңтарда жарияланған) мынадай өзгерістер мен толықтырулар енгізілсін:



1-тармақта :


1), 2) тармақшалар мынадай редакцияда жазылсын:


"1) кірістер – 7 753 180 мың теңге, оның ішінде:


салықтық түсімдер – 1 014 994 мың теңге;


салықтық емес түсімдер – 4 425 мың теңге;


негізгі капиталды сатудан түсетін түсімдер – 8 500 мың теңге;


трансферттер түсімі – 6 725 261 мың теңге;


2) шығындар – 7 687 765 мың теңге;";


4) тармақша мынадай редакцияда жазылсын:


"4) қаржы активтерімен операциялар бойынша сальдо – 142 799 мың теңге;


қаржы активтерін сатып алу – 142 799 мың теңге;


мемлекеттің қаржы активтерін сатудан түсетін түсімдер – 0;";



4-тармақ мынадай мазмұндағы 14) тармақшамен толықтырылсын:


"14) мектеп оқушыларына электрондық білім беру жүйесін енгізуге – 1 013 мың теңге.";



5-тармақтың 1) тармақшасы мынадай редакцияда жазылсын:


"1) мектепке дейінгі білім беру ұйымдарында мемлекеттік білім беру тапсырысын іске асыруға – 190 683 мың теңге;";



5-тармақ мынадай мазмұндағы 5) – 7) тармақшалармен толықтырылсын:


"5) мемлекеттік атаулы әлеуметтік көмек төлеуге – 12 017 мың теңге;


6) 18 жасқа дейінгі балаларға мемлекеттік жәрдемақыларды төлеуге – 12 000 мың теңге;


7) мемлекеттік мекемелердің мемлекеттік қызметшілер болып табылмайтын жұмыскерлерінің, сондай-ақ жергілікті бюджеттерден қаржыландырылатын мемлекеттік кәсіпорындардың жұмыскерлерінің лауазымдық айлықақысына ерекше еңбек жағдайлары үшін ай сайынғы үстемеақы төлеуге – 135 251 мың теңге.";



6-тармақ мынадай мазмұндағы 15) тармақшамен толықтырылсын:


"15) Жосалы кенті Мүсірбаев көшесі бойындағы коммуналдық меншіктегі ғимаратының құрылысы – 155 162 мың теңге.";



7-тармақ мынадай мазмұндағы 5) тармақшамен толықтырылсын:


"5) мамандандырылған уәкілетті ұйымдардың жарғылық капиталдарын ұлғайтуға – 8 099 мың теңге.";


"2014-2016 жылдарға арналған аудандық бюджет туралы" Қармақшы аудандық мәслихатының 2013 жылғы 25 желтоқсандағы кезекті 24-сессиясының N 140
шешімінің 1 ,
4 ,
6-қосымшалары осы
шешімнің 1 ,
2 ,
3-қосымшаларына сәйкес жазылсын.


2. Осы шешім алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі және 2014 жылдың 1 қаңтарынан бастап туындаған қатынастарға таралады.


Қармақшы аудандық
мәслихатының кезектен тыс
27-сессиясының төрағасы	|	Ә. Дәуленбаев
Қармақшы аудандық
мәслихатының хатшысы	|	М. Наятұлы




	|	Қармақшы аудандық мәслихатының2014 жылғы "28" сәуірдегікезектен тыс 27-сессиясыныңN 173 шешіміне 1-қосымшаҚармақшы аудандық мәслихатының2013 жылғы "25" желтоқсандағыкезекті 24-сессиясыныңN 140 шешіміне 1-қосымша

2014 жылға арналған аудандық бюджет

Санаты	|	Сомасы, мың теңге
	|	Сыныбы
	|		|	Iшкi сыныбы
	|		|		|	Атауы
	|		|		|	1.Кірістер	|	7753180
1	|		|		|	Салықтық түсімдер	|	1014994
	|	01	|		|	Табыс салығы	|	376489
	|		|	2	|	Жеке табыс салығы	|	376489
	|	03	|		|	Әлеуметтік салық	|	236969
	|		|	1	|	Әлеуметтік салық	|	236969
	|	04	|		|	Меншікке салынатын салықтар	|	370437
	|		|	1	|	Мүлікке салынатын салықтар	|	276935
	|		|	3	|	Жер салығы	|	5071
	|		|	4	|	Көлік құралдарына салынатын салық	|	88120
	|		|	5	|	Бірыңғай жер салығы	|	311
	|	05	|		|	Тауарларға, жұмыстарға және қызметтерге салынатын iшкi салықтар	|	21506
	|		|	2	|	Акциздер	|	7132
	|		|	3	|	Табиғи және басқа да ресурстарды пайдаланғаны үшін түсетін түсімдер	|	2568
	|		|	4	|	Кәсiпкерлiк және кәсіби қызметті жүргiзгенi үшін алынатын алымдар	|	11551
	|		|	5	|	Ойын бизнесіне салық	|	255
	|	07	|		|	Басқа да салықтар	|	681
	|		|	1	|	Басқа да салықтар	|	681
	|	08	|		|	Заңдық мәнді іс-әрекеттерді жасағаны және (немесе) оған уәкілеттігі бар мемлекеттік органдар немесе лауазымды адамдар құжаттар бергені үшін алынатын міндетті төлемдер	|	8912
	|		|	1	|	Мемлекеттік баж	|	8912
2	|		|		|	Салықтық емес түсімдер	|	4425
	|	01	|		|	Мемлекеттік меншіктен түсетін кірістер	|	1666
	|		|	5	|	Мемлекет меншігіндегі мүлікті жалға беруден түсетін кірістер	|	1644
	|		|	7	|	Мемлекеттік бюджеттен берілген кредиттер бойынша сыйақылар	|	22
	|	06	|		|	Өзге де салықтық емес түсімдер	|	2759
	|		|	1	|	Өзге де салықтық емес түсімдер	|	2759
3	|		|		|	Негізгі капиталды сатудан түсетін түсімдер	|	8500
	|	03	|		|	Жерді және материалдық емес активтерді сату	|	8500
	|		|	1	|	Жерді сату	|	7000
	|		|	2	|	Материалдық емес активтерді сату	|	1500
4	|		|		|	Трансферттердің түсімдері	|	6725261
