
Қазақстан Республикасы Бюджеттік кодексінің 106 бабының 2 тармағының, 4) тармақшасына, "Қазақстан Республикасындағы жергілікті мемлекеттік басқару туралы" Қазақстан Республикасы Заңының 6 бабының 1 тармағының 1) тармақшасына сәйкес Меңдіқара аудандық мәслихаты ШЕШТІ:

1. "Меңдіқара ауданының 2009 жылғы арналған аудандық бюджеті туралы" мәслихаттың 2008 жылғы 23 желтоқсандағы № 137 шешіміне өзгерістер енгізілсін (мемлекеттік тіркеу № 9-15-96 2008 жылғы 30 желтоқсан, аудандық "Меңдіқара үні" газетінде 2009 жылғы 15 қаңтардағы 3 санында жарияланды): Аталмыш шешімнің 1 тармағы жаңа редакцияда жазылсын: "1. Меңдіқара ауданының 2009 жылға арналған аудандық бюджеті 1- қосымшаға сәйкес мынадай көлемдерде бекітілсін: 1) кірістер – 1137739 мың теңге, оның ішінде: салықтық түсімдер – 260 227 мың теңге; салықтық емес түсімдер – 2 000 мың теңге; негізгі капиталды сатудан алынатын түсімдер - 9 090 мың теңге; облыстық бюджеттен субвенция – 793926 мың теңге; ағымдағы мақсатты трансферттер - 72496 мың теңге; 2) шығыстар - 1 137739,1 мың теңге; бюджеттік дефицит - 0,1 мың теңге пайдаланбаған мақсатты трансферттерді қайтару". Аталмыш шешімнің 1 , 2 , 4 қосымшалары осы шешімнің 1, 2, 4 қосымшаларына сәйкес жаңа редакцияда жазылсын. 2. Осы шешім 2009 жылдың 1 қаңтарынаң бастап қолданысқа енгізіледі.

Сессия төрайымы                                   Л.Тихоненко

Аудандық мәслихаттың хатшысы                        В.Леонов

КЕЛІСІЛГЕН

Мәслихаттың 2009 жылғы 21 қаңтардағы № 151 шешіміне 1 қосымша

2009 жылға арналған Меңдіқара аудандық бюджеттің жобасы


Са нат	|	Сы нып	|	Ішкі сы нып	|	Специфика	|	АТАУЫ	|	2009 жылға бекітілген бюджет
	|		|		|		|	Түсімдер	|	1137739
	|		|		|		|	Кірістер	|	271317
1	|	00	|	0	|	00	|	Салықтық түсімдер	|	260227
1	|	01	|	0	|	00	|	Табыс салығы	|	145404
1	|	01	|	2	|	00	|	Жеке табыс салығы	|	145404
1	|	03	|	1	|	00	|	Әлеуметтік салық	|	72000
1	|	04	|	0	|	00	|	Меншікке салынатын салықтар	|	28650
1	|	04	|	1	|	00	|	Мүлікке салынатын салықтар	|	10144
1	|	04	|	3	|	00	|	Жер салығы	|	3600
1	|	04	|	4	|	00	|	Көлік құралдарына салынатын салық	|	11106
1	|	04	|	5	|	00	|	Бірыңғай жер салығы	|	3800
1	|	05	|	0	|	00	|	Тауарларға, жұмыс пен қызметке алынатын ішкі салықтар	|	12538
1	|	05	|	2	|	00	|	Акциздер	|	5643
1	|	05	|	3	|	00	|	Табиғи және басқа ресурстарды пайдаланғанға алынатын түсімдер	|	3300
1	|	05	|	4	|	00	|	Кәсіпкерлік және кәсіби қызметпен айналысқанда алынатын алымдар	|	3595
1	|	08	|	0	|	00	|	Заңдылы мәні бар іс-әрекеттерді жүргізгені үшін және құжаттарды беруге уәкілді мемлекеттік органдар мен лауазымды жұрғалардан өндіріп алатын міндетті төлемдер	|	1635
1	|	08	|	1	|	00	|	Мемлекеттік баж	|	1635
2	|	00	|	0	|	00	|	Салық емес түсімдер	|	2000
2	|	01	|	0	|	00	|	Мемлекеттік меншігінен түсетін түсімдер	|	1700
2	|	01	|	5	|	00	|	Мемлекеттік меншігіндегі мүлікті жалға беруден түсетін кірістер	|	1700
2	|	06	|	0	|	00	|	Басқа да салықтық емес түсімдер	|	300
2	|	06	|	1	|	00	|	Басқа да салықтық емес түсімдер	|	300
3	|	00	|	0	|	00	|	Негізгі капиталды сатудан түскен кірістер	|	9090
3	|	03	|	0	|	00	|	Жерді және материалдық емес активтерді сату	|	9090
3	|	03	|	1	|	00	|	Жерді сату	|	9000
3	|	03	|	2	|	00	|	Жер учаскелерін жалдау құқығын сатқаны үшін төлем	|	90
4	|	00	|	0	|	00	|	Ресми трансферттердің түсімдері	|	866422
