2026-01-24 23:38:10 | INFO | Chunks already exist at /Users/nurlykhan/rag_paper/data/chunks/all_chunks.json
2026-01-24 23:38:10 | INFO | BM25 index already exists at /Users/nurlykhan/rag_paper/data/index/bm25_kaznlp.pkl
2026-01-24 23:38:10 | INFO | FAISS index already exists at /Users/nurlykhan/rag_paper/data/index/faiss_index.faiss
2026-01-24 23:38:10 | INFO | ======================================================================
2026-01-24 23:38:10 | INFO | EXPERIMENT RUN: 20260124_233810
2026-01-24 23:38:10 | INFO | ======================================================================
2026-01-24 23:38:10 | INFO | 
[1/6] Loading questions...
2026-01-24 23:38:10 | INFO |   Loaded 100 questions
2026-01-24 23:38:10 | INFO | 
[2/6] Loading chunk index...
2026-01-24 23:38:10 | INFO |   Index has 12886 documents
2026-01-24 23:38:10 | INFO | 
[3/6] Loading chunks...
2026-01-24 23:38:12 | INFO |   Loaded 263326 chunks in 2.3s
2026-01-24 23:38:12 | INFO | 
[4/6] Loading retrievers...
2026-01-24 23:38:12 | INFO |   Loading BM25 retriever...
2026-01-24 23:38:19 | INFO |     BM25 loaded in 6.6s
2026-01-24 23:38:19 | INFO |   Loading Vector retriever...
2026-01-24 23:38:23 | INFO |     Vector loaded in 3.6s
2026-01-24 23:38:23 | INFO |   Loading Hybrid retriever...
2026-01-24 23:38:36 | INFO |     Hybrid loaded in 13.8s
2026-01-24 23:38:36 | INFO | 
[5/6] Models to evaluate: ['GPT-4o', 'GPT-4o-mini', 'GPT-5', 'GPT-5-mini', 'o1', 'o1-mini']
2026-01-24 23:38:36 | INFO |   Retrieval methods: ['bm25', 'vector', 'hybrid']
2026-01-24 23:38:36 | INFO | 
======================================================================
2026-01-24 23:38:36 | INFO | RETRIEVAL EVALUATION
2026-01-24 23:38:36 | INFO | ======================================================================
2026-01-24 23:38:36 | DEBUG | Q1: Сколиозбен байланысты емес омыртқаның туа біткен а... | Gold: {167356}
2026-01-24 23:38:40 | DEBUG |   bm25: Retrieved [168430, 168424, 168425]... | R@6=0.00
2026-01-24 23:38:42 | DEBUG |   vector: Retrieved [111632, 75765, 224811]... | R@6=0.00
2026-01-24 23:38:45 | DEBUG |   hybrid: Retrieved [168430, 168425, 168424]... | R@6=0.00
2026-01-24 23:38:45 | DEBUG | Q2: Құрылымдық бөлімшенің басшысы қандай жауапкершілік... | Gold: {29305}
2026-01-24 23:38:47 | DEBUG |   bm25: Retrieved [125457, 144629, 95095]... | R@6=0.00
2026-01-24 23:38:48 | DEBUG |   vector: Retrieved [220942, 135503, 42406]... | R@6=0.00
2026-01-24 23:38:50 | DEBUG |   hybrid: Retrieved [125457, 220942, 144629]... | R@6=0.00
2026-01-24 23:38:50 | DEBUG | Q3: Ауылдық округтер бойынша сандарды ауыстырудың негі... | Gold: {6591}
2026-01-24 23:38:53 | DEBUG |   bm25: Retrieved [5140, 59870, 68261]... | R@6=0.00
2026-01-24 23:38:54 | DEBUG |   vector: Retrieved [183297, 257706, 157770]... | R@6=0.00
2026-01-24 23:38:56 | DEBUG |   hybrid: Retrieved [163752, 24883, 5140]... | R@6=0.00
2026-01-24 23:38:56 | DEBUG | Q4: Тыңдау туралы хабарлама қанша жұмыс күні бұрын жіб... | Gold: {195303}
2026-01-24 23:38:58 | DEBUG |   bm25: Retrieved [41599, 45532, 45521]... | R@6=0.00
2026-01-24 23:38:59 | DEBUG |   vector: Retrieved [212810, 10441, 152118]... | R@6=0.00
2026-01-24 23:39:02 | DEBUG |   hybrid: Retrieved [210308, 86890, 190283]... | R@6=0.00
